Id,Creation Time,Owner,Monitoring Time,sil,complexity,pipeline,clusters,dataset,case_labels
PM-81,2023-06-05 14:19:55,matheus.camilo,288,0.8765,0.0808,"MiniBatchKMeans(KMeans(input_matrix, algorithm=elkan, init=k-means++, max_iter=300, n_clusters=27), encoding=node2vec, init=k-means++, max_iter=100, n_clusters=35)",30.0,bpi_2013_closed_problems.csv,bpi_2013_closed_problems.csv_6478a1e770c454f6d9d9a33b.csv
PM-78,2023-06-05 13:52:54,matheus.camilo,110,0.9102,0.0753,"SpectralClustering(input_matrix, affinity=nearest_neighbors, eigen_solver=arpack, encoding=word2vec, n_clusters=47)",47.0,bpi_2013_closed_problems.csv,bpi_2013_closed_problems.csv_6478a1e770c454f6d9d9a338.csv
PM-75,2023-06-05 13:39:08,matheus.camilo,1086,0.971,0.1384,"DBSCAN(input_matrix, encoding=node2vec, eps=0.001, leaf_size=35, metric=euclidean, min_samples=1)",459.0,bpi_2013_incidents.csv,bpi_2013_incidents.csv_6478a1e770c454f6d9d9a335.csv
PM-74,2023-06-05 13:23:39,matheus.camilo,929,0.8561,0.1664,"MiniBatchKMeans(CombineDFs(input_matrix, input_matrix), encoding=node2vec, init=k-means++, max_iter=100, n_clusters=92)",87.0,bpi_2013_incidents.csv,bpi_2013_incidents.csv_6478a1e770c454f6d9d9a334.csv
PM-73,2023-06-05 13:03:50,matheus.camilo,1188,0.9716,0.1388,"DBSCAN(CombineDFs(CombineDFs(input_matrix, input_matrix), input_matrix), encoding=word2vec, eps=0.01, leaf_size=30, metric=manhattan, min_samples=1)",450.0,bpi_2013_incidents.csv,bpi_2013_incidents.csv_6478a1e770c454f6d9d9a333.csv
PM-70,2023-06-05 11:00:05,matheus.camilo,894,0.8661,0.1501,"MiniBatchKMeans(CombineDFs(input_matrix, input_matrix), encoding=node2vec, init=k-means++, max_iter=100, n_clusters=102)",95.0,bpi_2013_incidents.csv,bpi_2013_incidents.csv_6478a1e770c454f6d9d9a330.csv
PM-69,2023-06-05 10:38:41,matheus.camilo,1284,0.8186,0.1386,"MiniBatchKMeans(CombineDFs(input_matrix, input_matrix), encoding=alignments, init=k-means++, max_iter=400, n_clusters=99)",92.0,bpi_2013_incidents.csv,bpi_2013_incidents.csv_6478a1e770c454f6d9d9a32f.csv
PM-68,2023-06-05 10:18:30,matheus.camilo,1211,0.847,0.1401,"MiniBatchKMeans(input_matrix, encoding=alignments, init=random, max_iter=400, n_clusters=90)",84.0,bpi_2013_incidents.csv,bpi_2013_incidents.csv_6478a1e770c454f6d9d9a32d.csv
PM-67,2023-06-05 10:01:23,matheus.camilo,1026,0.8724,0.1359,"MiniBatchKMeans(input_matrix, encoding=alignments, init=random, max_iter=300, n_clusters=97)",90.0,bpi_2013_incidents.csv,bpi_2013_incidents.csv_6478a1e770c454f6d9d9a32c.csv
PM-10,2023-06-05 02:31:24,matheus.camilo,3861,0.7156,0.2599,"DBSCAN(input_matrix, encoding=word2vec, eps=0.001, leaf_size=1, metric=manhattan, min_samples=25)",43.0,bpi_2013_incidents.csv,bpi_2013_incidents.csv_6478a1e770c454f6d9d9a32f.csv
